 Mortalidade - Brasil
Óbitos p/Ocorrênc por Ano/mês do Óbito e Faixa Etária
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2011-2018
"Ano/mês do Óbito";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"..Janeiro/2015";112;67;25;28;48;138;224;456;878;1632;2755;5436;19;11818
"..Fevereiro/2015";90;43;23;14;35;113;183;345;739;1346;2160;4293;14;9398
"..Março/2015";135;83;20;27;47;124;219;439;894;1590;2585;5028;15;11206
"..Abril/2015";195;85;31;26;43;123;226;419;946;1773;2942;5803;24;12636
"..Maio/2015";237;96;35;29;53;169;243;483;1080;2026;3401;6850;16;14718
"..Junho/2015";186;96;25;31;57;130;226;467;1050;2061;3492;6901;27;14749
"..Julho/2015";167;77;22;20;47;147;280;462;1059;2043;3617;6918;17;14876
"..Agosto/2015";133;66;18;14;43;134;260;417;935;1827;3168;6013;7;13035
"..Setembro/2015";112;49;13;21;39;135;202;403;928;1677;2974;5645;15;12213
"..Outubro/2015";99;72;15;14;48;111;215;404;949;1683;2847;5373;16;11846
"..Novembro/2015";115;61;21;11;42;139;217;437;826;1527;2628;5116;15;11155
"..Dezembro/2015";97;62;17;29;49;132;215;443;938;1741;2848;5297;23;11891
"2016";1645;1044;308;339;592;1622;3060;5959;12923;23044;36969;70337;199;158041
"..Janeiro/2016";84;47;13;24;47;135;226;443;939;1656;2733;5231;17;11595
"..Fevereiro/2016";95;53;26;27;58;134;252;453;886;1548;2645;5004;13;11194
"..Março/2016";122;86;34;40;56;154;285;588;1107;1974;3048;5741;16;13251
"..Abril/2016";172;149;31;44;60;175;370;672;1446;2276;3367;6103;17;14882
"..Maio/2016";211;152;39;34;66;174;295;660;1427;2290;3471;6377;20;15216
"..Junho/2016";222;126;30;33;51;138;265;595;1349;2255;3583;6980;23;15650
"..Julho/2016";199;101;37;35;49;124;268;527;1238;2280;3729;7369;16;15972
"..Agosto/2016";131;71;25;27;49;135;222;431;1002;1971;3422;6346;16;13848
"..Setembro/2016";111;64;20;22;41;112;219;392;912;1807;2837;5631;13;12181
"..Outubro/2016";103;58;17;18;38;112;217;395;902;1702;2894;5528;11;11995
"..Novembro/2016";111;73;15;16;41;109;215;383;844;1624;2577;5051;15;11074
"..Dezembro/2016";84;64;21;19;36;120;226;420;871;1661;2663;4976;22;11183
"2017";1477;872;275;265;543;1412;2636;4732;10858;22105;36404;73860;181;155620
"..Janeiro/2017";82;41;29;13;37;121;229;370;821;1594;2528;5205;30;11100
"..Fevereiro/2017";93;54;33;18;38;110;212;351;735;1479;2468;4813;20;10424
"..Março/2017";136;81;28;25;48;123;228;382;912;1738;2874;5928;19;12522
"..Abril/2017";157;108;26;23;62;113;195;399;866;1769;2910;6111;14;12753
"..Maio/2017";186;97;17;34;61;122;261;454;1005;1992;3365;6980;13;14587
"..Junho/2017";156;77;21;24;52;107;223;414;988;2097;3437;7128;17;14741
"..Julho/2017";165;73;18;29;42;134;253;448;1056;2279;3786;7831;10;16124
"..Agosto/2017";112;57;24;24;45;134;203;421;1003;1986;3311;6705;5;14030
"..Setembro/2017";101;79;23;26;40;102;221;389;966;1862;3051;6094;14;12968
"..Outubro/2017";84;71;23;21;31;133;223;367;844;1883;3087;6106;14;12887
"..Novembro/2017";94;67;19;16;41;109;181;331;814;1693;2750;5443;13;11571
"..Dezembro/2017";111;67;14;12;46;104;207;406;848;1733;2837;5516;12;11913
"2018";1584;988;289;264;507;1533;2606;5107;11307;22559;36458;71858;131;155191
"..Janeiro/2018";94;60;13;15;53;121;196;389;844;1704;2702;5385;8;11584
"..Fevereiro/2018";70;51;20;14;35;95;186;328;706;1355;2316;4554;12;9742
"..Março/2018";114;67;21;20;41;148;225;395;868;1739;2853;5667;13;12171
"..Abril/2018";157;111;31;27;48;138;247;429;912;1902;3062;5797;6;12867
"..Maio/2018";234;126;40;35;53;151;240;528;1157;2222;3414;6550;15;14765
"..Junho/2018";191;120;30;25;48;127;255;557;1218;2295;3536;7091;12;15505
"..Julho/2018";149;75;26;27;51;155;239;519;1211;2297;3763;7376;5;15893
"..Agosto/2018";135;66;25;23;32;135;224;458;976;2016;3362;6645;15;14112
"..Setembro/2018";108;74;26;17;40;112;191;396;918;1874;3050;5977;9;12792
"..Outubro/2018";115;83;17;24;41;122;211;382;881;1729;2984;5566;15;12170
"..Novembro/2018";114;79;21;18;29;98;191;368;810;1653;2636;5370;10;11397
"..Dezembro/2018";103;76;19;19;36;131;201;358;806;1773;2780;5880;11;12193
"Total";14584;7830;2462;2480;4500;12550;22169;42092;89308;162898;272743;513950;1601;1149167
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 
